name;position;age;valuemax;value;goals;assists;yellow;red;shotspergame;passsuccess;aerialswon;rating
Robert Lewandowski;striker;28;80;80;30;4;5;0;4.2;75;1.8;7.71
Pierre-Emerick Aubameyang;striker;27;65;65;29;2;3;0;3.6;70.3;1.3;7.4
Thomas Müller;striker;27;75;60;5;12;0;0;2.2;76.2;1.8;7.3
Marco Reus;striker;27;50;40;5;4;1;1;2.3;74.6;0.4;7.03
Douglas Costa;striker;26;35;30;4;3;2;0;1.9;80.2;0.1;7.17
Ousmane Dembélé;striker;20;28;28;6;11;6;0;1.6;66.8;0.2;7.41
André Schürrle;striker;26;30;23;2;2;3;0;2.4;72.1;0.6;6.89
Chicharito;striker;28;25;22;10;2;1;0;2;72.7;1.4;6.82
Breel Embolo;striker;20;22;20;2;1;0;0;1.1;71.2;0.7;6.92
Kingsley Coman;striker;20;20;20;2;1;1;0;1.1;84.9;0.4;6.8
Anthony Modeste;striker;29;17;17;25;2;3;0;3;63.7;4.5;7.34
Kevin Volland;striker;24;20;17;6;2;3;1;1.5;68.5;1.3;6.71
Timo Werner;striker;21;16;16;21;5;4;0;2.4;67.5;0.9;7.29
Emil Forsberg;striker;25;15;15;8;18;1;1;1.7;76;0.6;7.73
Lars Stindl;striker;28;13;13;11;3;8;0;2.2;79.5;1.6;7.07
Leon Bailey;striker;19;12.5;12.5;0;0;1;0;0.9;66.7;0.1;6.31
Yevhen Konoplyanka;striker;27;25;12;1;1;1;0;0.9;77.5;0.2;6.32
Christian Pulisic;striker;18;12;12;3;6;1;0;1;73.1;0.7;6.84
Arjen Robben;striker;33;40;10;12;7;0;0;2.9;81.4;0.3;7.73
Marcel Sabitzer;striker;23;10;10;7;4;3;0;2.5;67.9;0.7;7.06
Paul-Georges Ntep;striker;24;10;10;0;2;0;0;1;67.3;0.1;6.46
Filip Kostic;striker;24;10;10;3;2;5;0;1.7;64.8;1;6.8
Oliver Burke;striker;20;10;10;1;2;1;0;0.4;72.6;0.9;6.24
Andrej Kramaric;striker;25;9;9;15;8;1;0;2.9;83.5;0.2;7.1
Max Kruse;striker;29;12;8;14;6;1;0;1.8;76.3;1.9;7.51
Bojan Krkic;striker;26;15;8;1;1;1;0;1.2;78.8;0.4;6.59
Eric Maxim Choupo-Moting;striker;28;10;8;3;4;1;0;2.1;73.3;2.7;6.96
Mario Gómez;striker;31;42;7.5;16;1;4;0;2.6;62.9;4;7.14
Raffael;striker;32;10;7;6;0;1;0;2.3;76.1;0.5;7.19
Maximilian Philipp;striker;23;7;7;9;2;5;0;2.1;69.3;1.5;6.98
Vincenzo Grifo;striker;24;7;7;6;7;1;0;2.8;72.9;0.6;7.16
Jhon Córdoba;striker;24;7;7;5;3;8;1;2.1;68.3;2.8;6.86
André Hahn;striker;26;8;6;3;1;3;0;1.1;59.2;2.7;6.54
Yussuf Poulsen;striker;22;6;6;4;4;4;0;1.6;66.5;3.9;7
Sandro Wagner;striker;29;5.5;5.5;11;2;3;1;2.1;62.9;3.3;7.05
Salomon Kalou;striker;31;15;5;7;4;1;0;1.5;73;1.1;6.87
Daniel Caligiuri;striker;29;7.5;5;2;3;0;0;1.1;76.1;1.3;6.93
Guido Burgstaller;striker;28;5;5;9;2;1;0;2.6;70.1;1.1;6.86
Mark Uth;striker;25;5;5;7;3;4;0;1.7;73.4;0.6;6.89
Levin Öztunali;striker;21;5;5;5;6;1;0;1;61;0.6;6.79
Jairo Samperio;striker;23;6;5;2;1;5;0;1.6;62.8;0.6;6.45
Emre Mor;striker;19;5;5;1;2;0;1;0.8;75;0.3;6.71
Jakub Blaszczykowski;striker;31;18;4.5;0;1;2;0;0.4;77.2;0.5;6.72
Nicolai Müller;striker;29;7;4.5;5;6;4;0;1.8;62.4;1.2;6.95
Raúl Bobadilla;striker;29;5.5;4.5;4;1;1;0;1.9;72.1;0.9;6.7
Alfred Finnbogason;striker;28;9;4.5;3;1;1;1;1.8;67.3;1.8;6.71
Yoshinori Muto;striker;24;5.5;4.5;5;0;3;0;1;63.1;1;6.54
